week_start,conflict_count,total_events_country,avg_goldstein,goldstein_std,avg_tone,conflict_mentions,total_mentions_country,available_from,wb_observation_year,inflation_pct,unemployment_pct,gdp_growth_pct,wb_feature_age_years,data_quality_gap_week,origin_valid_full_features,conflict_count_t,conflict_count_lag1,conflict_count_lag2,conflict_count_lag4,conflict_count_lag12,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_12w,rolling_max_8w,cumulative_conflict_12w,goldstein_volatility_4w,news_volume_change_wow,conflict_share,mentions_per_conflict
2025-01-20,10242,74502,-9.7280316344464,0.4180389673696374,-5.927556622509433,50089,367497,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,10242.0,10684.0,8661.0,10851.0,15416.0,9772.0,887.0186018342283,10023.125,1008.6251180631256,10851.0,126517.0,0.043010194733757244,-0.14417653613316028,0.13747281952162357,4.890548720952939
2025-01-27,8754,72973,-9.732293808544664,0.4222180528145623,-5.8345967713615,42747,348263,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,8754.0,10242.0,10684.0,9501.0,11659.0,9585.25,1030.1758345059106,9921.125,1063.56467512878,10851.0,123612.0,0.031762875384010104,-0.020522938981503813,0.119962177791786,4.883139136394791
2025-02-03,7863,78155,-9.721289584128195,0.4153711754358673,-5.5809875907214925,38661,357233,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,7863.0,8754.0,10242.0,8661.0,11614.0,9385.75,1308.4969430609876,9555.0,1186.6776738083147,10851.0,119861.0,0.008853638906270162,0.0710125662916421,0.10060776661761883,4.9168256390690575
2025-02-10,7429,70814,-9.693094629156013,0.4320798771730788,-6.289081709081008,36417,334133,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,7429.0,7863.0,8754.0,10684.0,12066.0,8572.0,1242.4644864139777,9248.125,1203.5058635654066,10851.0,115224.0,0.0176466234136064,-0.09392873136715496,0.10490863388595476,4.902005653519989
2025-02-17,8593,61618,-9.730594670080292,0.4167588344852396,-6.354074174306475,44174,312960,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,8593.0,7429.0,7863.0,10242.0,10993.0,8159.75,622.600661205305,8965.875,1149.541015124946,10684.0,112824.0,0.018139158541310537,-0.1298613268562714,0.13945600311597262,5.140695915279879
2025-02-24,7443,54667,-9.735456133279593,0.4163600616585417,-6.276445268545775,37024,273839,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,7443.0,8593.0,7429.0,8754.0,9570.0,7832.0,545.8363613147103,8708.625,1278.078680534303,10684.0,110697.0,0.018944249678723872,-0.11280794573014374,0.13615160883165348,4.974338304447132
2025-03-03,6828,56437,-9.722100175746926,0.4250531090606917,-5.947097299000894,35982,277545,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,6828.0,7443.0,8593.0,7863.0,10792.0,7573.25,737.8032145045744,8479.5,1346.6130211711939,10684.0,106733.0,0.018965415220850698,0.032377851354564946,0.12098446054893067,5.269771528998243
2025-03-10,6897,54048,-9.761418007829487,0.4083068947308136,-6.4644140871474285,35764,254616,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,6897.0,6828.0,7443.0,7429.0,9884.0,7440.25,816.2537901902506,8006.125,1421.072482317466,10242.0,103746.0,0.01694146997714222,-0.04233038609422901,0.12760879218472468,5.1854429462084966
2025-03-17,12568,68410,-9.799013367281987,0.3778088635013747,-6.658912606600907,66889,352520,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,12568.0,6897.0,6828.0,8593.0,10851.0,8434.0,2769.6956511501317,8296.875,1718.6151644080367,12568.0,105463.0,0.03387091245932192,0.26572676139727647,0.18371583101885688,5.322167409293444
2025-03-24,10650,58547,-9.794553990610328,0.3840275333196592,-6.529322319065758,55842,301592,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,10650.0,12568.0,6897.0,7443.0,9501.0,9235.75,2850.2049487712193,8533.875,1792.3406906933412,12568.0,106612.0,0.035639838064941504,-0.1441748282414852,0.18190513604454542,5.243380281690141
2025-03-31,9351,54852,-9.792589027911452,0.3902524096996606,-6.58970015458942,48547,275153,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,9351.0,10650.0,12568.0,6828.0,8661.0,9866.5,2380.1712123290517,8719.875,1795.5895883238193,12568.0,107302.0,0.017195096576271454,-0.06311168804550193,0.17047691971122292,5.191637258047268
2025-04-07,8487,59626,-9.772593378107693,0.4008600845904304,-6.229711907752142,43976,293485,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,8487.0,9351.0,10650.0,6897.0,10684.0,10264.0,1774.7027920189755,8852.125,1711.8585394508616,12568.0,105105.0,0.011708720381187194,0.08703420112302185,0.14233723543420657,5.181571815718157
2025-04-14,8131,53349,-9.761345467962121,0.4074401654062651,-6.125278116996913,42859,272002,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,8131.0,8487.0,9351.0,12568.0,10242.0,9154.75,1120.7498605843978,8794.375,1653.0340057731257,12568.0,102994.0,0.016050537603632325,-0.10527286754100562,0.15241147912800615,5.2710613700651825
2025-04-21,7100,50595,-9.791971830985917,0.3838077759003258,-6.486840673882376,37923,251523,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,7100.0,8131.0,8487.0,10650.0,8754.0,8267.25,931.6366870548918,8751.5,1705.5859030629886,12568.0,101340.0,0.015319870027940352,-0.05162233593881793,0.14033007214151597,5.341267605633803
2025-04-28,8617,50649,-9.803469885110829,0.374504663638146,-6.11411310860195,46101,258685,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,8617.0,7100.0,8131.0,9351.0,7863.0,8083.75,687.2560779408316,8975.125,1696.0579875020833,12568.0,102094.0,0.018929792401004505,0.0010672991402311816,0.1701316906552943,5.350005802483463
2025-05-05,9024,57146,-9.798537234042557,0.3807021592336284,-5.976710512415912,47361,291713,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,9024.0,8617.0,7100.0,8487.0,7429.0,8218.0,829.925699485571,9241.0,1666.059156703713,12568.0,103689.0,0.018919365979665228,0.12827499062172998,0.15791131487768173,5.248337765957447
2025-05-12,9369,66213,-9.771853986551395,0.4034818432181882,-6.089961646316636,47203,319571,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,9369.0,9024.0,8617.0,8131.0,8593.0,8527.5,1000.0668311001092,8841.125,1679.0465616118368,10650.0,104465.0,0.013892231688943527,0.15866377349245786,0.14149789316297404,5.038211121784609
2025-05-19,12823,75426,-9.82383217655775,0.3625156999750938,-5.650119794276848,66003,374956,2025-01-01,2023,4.22522603168918,3.371,2.06272504731618,2,False,True,12823.0,9369.0,9024.0,7100.0,7443.0,9958.25,1934.4062611905701,9112.75,1999.0892073869159,12823.0,109845.0,0.02139330317937847,0.13914186035974807,0.17000768965608676,5.147235436325353
